Date,Showroom Name,City,Brand,Model,Quantity Sold,Unit Price,Total Sales,Discount,Net Sales,Tax,Profit,Payment Method
1/1/2023,Bike Haven,Mumbai,Hero,HF Deluxe,5,50000,250000,5000,245000,24500,20000,Credit Card
1/2/2023,Wheels Unlimited,Delhi,Honda,Activa,8,60000,480000,10000,470000,47000,35000,Cash
1/3/2023,Speedy Bikes,Bangalore,Yamaha,FZ-S,3,75000,225000,4500,220500,22000,18000,Debit Card
1/4/2023,Green Riders,Chennai,Bajaj,Pulsar,7,80000,560000,12000,548000,54800,42000,Credit Card
1/5/2023,Revolutionary Rides,Hyderabad,Suzuki,Access,4,70000,280000,6000,274000,27400,22000,Debit Card
1/6/2023,Rapid Wheels,Mumbai,Hero,HX250R,2,100000,200000,3000,197000,19700,15000,Cash
1/7/2023,Cruiser Corner,Delhi,Royal Enfield,Classic 350,6,150000,900000,18000,882000,88200,70000,Credit Card
1/8/2023,City Bikes,Bangalore,Honda,CB Unicorn,5,85000,425000,8000,417000,41700,32000,Debit Card
1/9/2023,Zooming Zephyr,Chennai,Yamaha,R15 V3,3,120000,360000,7000,353000,35300,28000,Cash
1/10/2023,Dynamic Drives,Hyderabad,Suzuki,Gixxer SF,4,90000,360000,5000,355000,35500,27000,Credit Card
1/11/2023,Swift Cycles,Mumbai,Hero,Passion Pro,6,55000,330000,6000,324000,32400,25000,Debit Card
1/12/2023,Blazing Bikes,Delhi,Honda,Hornet 2.0,2,95000,190000,4000,186000,18600,14000,Cash
1/13/2023,Velocity Vans,Bangalore,Yamaha,Fascino,8,70000,560000,10000,550000,55000,42000,Credit Card
1/14/2023,Superbikes World,Chennai,Ducati,Monster,1,1200000,1200000,25000,1175000,117500,90000,Debit Card
1/15/2023,Elite Motors,Hyderabad,KTM,RC 390,3,250000,750000,15000,735000,73500,58000,Cash
1/16/2023,Riding Royals,Mumbai,Royal Enfield,Interceptor 650,5,200000,1000000,20000,980000,98000,75000,Credit Card
1/17/2023,Extreme Wheels,Delhi,Suzuki,Hayabusa,1,1500000,1500000,30000,1470000,147000,120000,Debit Card
1/18/2023,Sporty Spokes,Bangalore,Kawasaki,Ninja 300,4,300000,1200000,25000,1175000,117500,90000,Cash
1/19/2023,City Riders,Chennai,Bajaj,Avenger Cruise 220,7,120000,840000,18000,822000,82200,63000,Credit Card
1/20/2023,Fast Lane,Hyderabad,TVS,Apache RTR 160,3,85000,255000,5000,250000,25000,20000,Debit Card
1/21/2023,Dynamic Drives,Mumbai,Hero,Xtreme 160R,6,60000,360000,7000,353000,35300,28000,Cash
1/22/2023,Bike Galaxy,Delhi,Honda,Shine,4,65000,260000,5000,255000,25500,20000,Credit Card
1/23/2023,Sprint Bikes,Bangalore,Yamaha,FZ25,2,150000,300000,6000,294000,29400,22000,Debit Card
1/24/2023,Thunder Motors,Chennai,Bajaj,Discover 125,5,55000,275000,8000,267000,26700,21000,Cash
1/25/2023,City Cruisers,Hyderabad,Suzuki,Gixxer 155,3,95000,285000,5000,280000,28000,22000,Credit Card
1/26/2023,Ride King,Mumbai,KTM,Duke 200,6,180000,1080000,20000,1060000,106000,80000,Debit Card
1/27/2023,Star Bikes,Delhi,Royal Enfield,Bullet 350,7,120000,840000,15000,825000,82500,62000,Cash
1/28/2023,Swift Riders,Bangalore,Honda,Hornet 2.0,3,95000,285000,6000,279000,27900,21000,Credit Card
1/29/2023,Highway Wheels,Chennai,Yamaha,Ray Z,4,70000,280000,7000,273000,27300,22000,Debit Card
1/30/2023,Moto Hub,Hyderabad,Bajaj,Platina,8,50000,400000,10000,390000,39000,30000,Cash
1/31/2023,Ride Ready,Mumbai,Suzuki,Burgman Street,2,95000,190000,3000,187000,18700,14000,Credit Card
2/1/2023,Bike World,Delhi,Hero,Splendor Plus,6,55000,330000,8000,322000,32200,25000,Debit Card
2/2/2023,Max Motors,Bangalore,Triumph,Street Triple RS,1,1100000,1100000,20000,1080000,108000,85000,Cash
2/3/2023,Royal Rides,Chennai,Kawasaki,Ninja ZX-10R,1,1500000,1500000,30000,1470000,147000,120000,Credit Card
2/4/2023,Cruiser Central,Hyderabad,KTM,RC 390,4,250000,1000000,15000,985000,98500,75000,Debit Card
2/5/2023,Rapid Motors,Mumbai,Harley-Davidson,Street 750,2,550000,1100000,25000,1075000,107500,85000,Cash
2/6/2023,Zoom Bikes,Delhi,Benelli,Imperiale 400,3,180000,540000,7000,533000,53300,42000,Credit Card
2/7/2023,Sporty Wheels,Bangalore,Suzuki,Intruder 150,5,140000,700000,12000,688000,68800,53000,Debit Card
2/8/2023,High Gear,Chennai,Honda,Unicorn 160,4,85000,340000,5000,335000,33500,26000,Cash
2/9/2023,Rapid Rides,Hyderabad,Ducati,Panigale V2,1,2000000,2000000,30000,1970000,197000,150000,Credit Card
2/10/2023,Swift Cycles,Mumbai,Hero,Passion XPro,7,60000,420000,8000,412000,41200,32000,Debit Card
2/11/2023,Superbikes Arena,Delhi,KTM,Duke 390,2,250000,500000,10000,490000,49000,38000,Credit Card
2/12/2023,Max Velocity,Bangalore,Yamaha,FZ V3,5,90000,450000,8000,442000,44200,34000,Cash
2/13/2023,Ride Master,Chennai,Bajaj,CT 100,8,40000,320000,6000,314000,31400,24000,Debit Card
2/14/2023,City Bikers,Hyderabad,Suzuki,GSX-S750,1,800000,800000,15000,785000,78500,62000,Credit Card
2/15/2023,Racing Wheels,Mumbai,Ducati,Scrambler,3,1200000,3600000,30000,3570000,357000,280000,Cash
2/16/2023,Ride Nation,Delhi,Harley-Davidson,Fat Bob,2,1200000,2400000,40000,2360000,236000,180000,Credit Card
2/17/2023,Swift Motors,Bangalore,Triumph,Bonneville T120,1,1400000,1400000,20000,1380000,138000,110000,Debit Card
2/18/2023,Moto Hub,Chennai,Kawasaki,Versys 650,4,900000,3600000,50000,3550000,355000,280000,Cash
2/19/2023,Royal Rides,Hyderabad,Royal Enfield,Himalayan,6,200000,1200000,15000,1185000,118500,92000,Credit Card
2/20/2023,Rapid Motors,Mumbai,Suzuki,V-Strom 650XT,3,1100000,3300000,25000,3275000,327500,260000,Debit Card
2/21/2023,Fast Track,Delhi,Benelli,Leoncino 500,2,250000,500000,8000,492000,49200,38000,Credit Card
2/22/2023,Sporty Rides,Bangalore,TVS,Apache RR 310,4,250000,1000000,12000,988000,98800,75000,Debit Card
2/23/2023,Moto Elite,Chennai,KTM,Adventure 390,2,300000,600000,10000,590000,59000,45000,Cash
2/24/2023,Royal Motors,Hyderabad,Royal Enfield,Classic 500,3,180000,540000,7000,533000,53300,42000,Credit Card
2/25/2023,Zoom Bikes,Mumbai,Harley-Davidson,Iron 883,1,900000,900000,15000,885000,88500,68000,Debit Card
2/26/2023,Ride Ready,Delhi,Honda,SP 125,5,70000,350000,8000,342000,34200,26000,Credit Card
2/27/2023,Cruiser Central,Bangalore,Suzuki,GSX-R1000,1,1500000,1500000,30000,1470000,147000,120000,Debit Card
2/28/2023,High Gear,Chennai,Yamaha,MT-15,3,140000,420000,5000,415000,41500,32000,Cash
3/1/2023,Rapid Rides,Hyderabad,Bajaj,Pulsar NS200,4,120000,480000,7000,473000,47300,36000,Credit Card
3/2/2023,Swift Cycles,Mumbai,Honda,CD 110 Dream,7,45000,315000,6000,309000,30900,24000,Debit Card
3/3/2023,Superbikes Arena,Delhi,KTM,RC 125,3,180000,540000,8000,532000,53200,42000,Credit Card
3/4/2023,Max Velocity,Bangalore,Yamaha,Fascino 125,5,70000,350000,6000,344000,34400,26000,Cash
3/5/2023,Ride Master,Chennai,Bajaj,Platina 110,8,50000,400000,8000,392000,39200,30000,Debit Card
3/6/2023,City Bikers,Hyderabad,Suzuki,Burgman Street,2,95000,190000,3000,187000,18700,14000,Credit Card
3/7/2023,Racing Wheels,Mumbai,Ducati,Monster 797,1,900000,900000,15000,885000,88500,68000,Cash
3/8/2023,Ride Nation,Delhi,Harley-Davidson,Street Rod,2,1100000,2200000,40000,2160000,216000,165000,Credit Card
3/9/2023,Swift Motors,Bangalore,Triumph,Street Twin,1,1200000,1200000,20000,1180000,118000,92000,Debit Card
3/10/2023,Moto Hub,Chennai,Kawasaki,Ninja 650,4,750000,3000000,50000,2950000,295000,230000,Cash
3/11/2023,Royal Rides,Hyderabad,Royal Enfield,Interceptor 650,6,200000,1200000,15000,1185000,118500,92000,Credit Card
3/12/2023,Rapid Motors,Mumbai,Suzuki,Gixxer 250,3,160000,480000,7000,473000,47300,36000,Debit Card
3/13/2023,Fast Track,Delhi,Benelli,TNT 300,2,300000,600000,8000,592000,59200,45000,Credit Card
3/14/2023,Sporty Rides,Bangalore,TVS,Apache RTR 200,4,120000,480000,12000,468000,46800,36000,Debit Card
3/15/2023,Moto Elite,Chennai,KTM,Duke 125,2,150000,300000,10000,290000,29000,22000,Cash
3/16/2023,Royal Motors,Hyderabad,Royal Enfield,Thunderbird 350X,3,160000,480000,7000,473000,47300,36000,Credit Card
3/17/2023,Zoom Bikes,Mumbai,Harley-Davidson,Street 750,1,900000,900000,15000,885000,88500,68000,Debit Card
3/18/2023,Ride Ready,Delhi,Honda,Activa 125,5,85000,425000,8000,417000,41700,32000,Credit Card
3/19/2023,Cruiser Central,Bangalore,Suzuki,Gixxer SF 250,1,180000,180000,3000,177000,17700,14000,Debit Card
3/20/2023,High Gear,Chennai,Yamaha,YZF R15,3,150000,450000,5000,445000,44500,34000,Cash
3/21/2023,Rapid Rides,Hyderabad,Bajaj,Chetak Electric,4,120000,480000,7000,473000,47300,36000,Credit Card
3/22/2023,Swift Cycles,Mumbai,Honda,SP 125,7,70000,490000,8000,482000,48200,38000,Debit Card
3/23/2023,Superbikes Arena,Delhi,KTM,Duke 200,3,180000,540000,8000,532000,53200,42000,Credit Card
3/24/2023,Max Velocity,Bangalore,Yamaha,MT-15,5,140000,700000,10000,690000,69000,52000,Cash
3/25/2023,Ride Master,Chennai,Bajaj,Avenger Street 160,8,95000,760000,12000,748000,74800,58000,Debit Card
3/26/2023,City Bikers,Hyderabad,Suzuki,Intruder 150,2,140000,280000,4000,276000,27600,21000,Credit Card
3/27/2023,Racing Wheels,Mumbai,Ducati,Diavel,1,1800000,1800000,25000,1775000,177500,140000,Cash
3/28/2023,Ride Nation,Delhi,Harley-Davidson,Iron 883,3,900000,2700000,50000,2650000,265000,200000,Credit Card
3/29/2023,Swift Motors,Bangalore,Triumph,Bonneville Speedmaster,1,1600000,1600000,25000,1575000,157500,120000,Debit Card
3/30/2023,Moto Hub,Chennai,Kawasaki,Z900,4,900000,3600000,50000,3550000,355000,280000,Cash
3/31/2023,Royal Rides,Hyderabad,Royal Enfield,Classic 350,6,150000,900000,15000,885000,88500,68000,Credit Card
4/1/2023,Rapid Motors,Mumbai,Suzuki,Access 125,3,75000,225000,3000,222000,22200,17000,Debit Card
4/2/2023,Fast Track,Delhi,Benelli,Imperiale 400,2,180000,360000,7000,353000,35300,28000,Credit Card
4/3/2023,Sporty Rides,Bangalore,TVS,Star City Plus,4,65000,260000,5000,255000,25500,20000,Debit Card
4/4/2023,Moto Elite,Chennai,KTM,Adventure 250,2,250000,500000,8000,492000,49200,38000,Cash
4/5/2023,Royal Motors,Hyderabad,Royal Enfield,Bullet 500,3,170000,510000,6000,504000,50400,39000,Credit Card
4/6/2023,Zoom Bikes,Mumbai,Harley-Davidson,Street Rod,1,1100000,1100000,20000,1080000,108000,85000,Debit Card
4/7/2023,Ride Ready,Delhi,Honda,Hornet 2.0,5,95000,475000,8000,467000,46700,36000,Credit Card
4/8/2023,Cruiser Central,Bangalore,Suzuki,Gixxer SF 250,1,180000,180000,3000,177000,17700,14000,Debit Card
4/9/2023,High Gear,Chennai,Yamaha,FZ V3,3,90000,270000,5000,265000,26500,20000,Cash
4/10/2023,Rapid Rides,Hyderabad,Bajaj,Pulsar 180,4,80000,320000,7000,313000,31300,24000,Credit Card
4/11/2023,Swift Cycles,Mumbai,Honda,XBlade,7,85000,595000,8000,587000,58700,45000,Debit Card
4/12/2023,Superbikes Arena,Delhi,KTM,RC 200,3,220000,660000,8000,652000,65200,52000,Credit Card
4/13/2023,Max Velocity,Bangalore,Yamaha,YZF R3,2,300000,600000,8000,592000,59200,45000,Cash
4/14/2023,Ride Master,Chennai,Bajaj,Platina 110 H-Gear,6,52000,312000,5000,307000,30700,24000,Debit Card
4/15/2023,City Bikers,Hyderabad,Suzuki,Hayate EP,4,55000,220000,3000,217000,21700,17000,Credit Card
4/16/2023,Racing Wheels,Mumbai,Ducati,Scrambler Desert Sled,1,1300000,1300000,20000,1280000,128000,98000,Debit Card
4/17/2023,Ride Nation,Delhi,Harley-Davidson,Fat Boy,2,1700000,3400000,40000,3360000,336000,260000,Credit Card
4/18/2023,Swift Motors,Bangalore,Triumph,Tiger 800,1,1400000,1400000,20000,1380000,138000,110000,Debit Card
4/19/2023,Moto Hub,Chennai,Kawasaki,Z650,3,650000,1950000,30000,1920000,192000,150000,Cash
4/20/2023,Royal Rides,Hyderabad,Royal Enfield,Continental GT 650,5,230000,1150000,15000,1135000,113500,88000,Credit Card
4/21/2023,Rapid Motors,Mumbai,Suzuki,V-Strom 1050XT,2,1500000,3000000,50000,2950000,295000,230000,Debit Card
4/22/2023,Fast Track,Delhi,Benelli,TRK 502,3,550000,1650000,25000,1625000,162500,126000,Credit Card
4/23/2023,Sporty Rides,Bangalore,TVS,Apache RTR 160 4V,4,98000,392000,7000,385000,38500,30000,Debit Card
4/24/2023,Moto Elite,Chennai,KTM,RC 390,2,275000,550000,8000,542000,54200,42000,Cash
4/25/2023,Royal Motors,Hyderabad,Royal Enfield,Himalayan,3,200000,600000,6000,594000,59400,46000,Credit Card
4/26/2023,Zoom Bikes,Mumbai,Harley-Davidson,Roadster,1,1000000,1000000,15000,985000,98500,76000,Debit Card
4/27/2023,Ride Ready,Delhi,Honda,Activa 6G,5,70000,350000,8000,342000,34200,26000,Credit Card
4/28/2023,Cruiser Central,Bangalore,Suzuki,Gixxer 155,1,110000,110000,2000,108000,10800,8500,Debit Card
