Date,Showroom Name,City,Brand,Model,Quantity Sold,Unit Price,Total Sales,Discount,Net Sales,Tax,Profit,Payment Method
4/29/2023,High Gear,Chennai,Yamaha,FZS V3,3,95000,285000,5000,280000,28000,22000,Cash
4/30/2023,Rapid Rides,Hyderabad,Bajaj,Platina 100,4,50000,200000,3000,197000,19700,15000,Credit Card
5/1/2023,Swift Cycles,Mumbai,Honda,Livo,6,60000,360000,7000,353000,35300,28000,Debit Card
5/2/2023,Superbikes Arena,Delhi,KTM,Duke 390,2,250000,500000,8000,492000,49200,38000,Credit Card
5/3/2023,Max Velocity,Bangalore,Yamaha,FZ V3,5,90000,450000,8000,442000,44200,34000,Cash
5/4/2023,Ride Master,Chennai,Bajaj,Platina 110,8,50000,400000,8000,392000,39200,30000,Debit Card
5/5/2023,City Bikers,Hyderabad,Suzuki,Access 125,2,95000,190000,3000,187000,18700,14000,Credit Card
5/6/2023,Racing Wheels,Mumbai,Ducati,Monster 821,1,1200000,1200000,20000,1180000,118000,92000,Debit Card
5/7/2023,Ride Nation,Delhi,Harley-Davidson,Street Glide,2,1800000,3600000,40000,3560000,356000,275000,Credit Card
5/8/2023,Swift Motors,Bangalore,Triumph,Street Triple RS,1,1100000,1100000,20000,1080000,108000,85000,Debit Card
5/9/2023,Moto Hub,Chennai,Kawasaki,Ninja 300,3,300000,900000,15000,885000,88500,68000,Cash
5/10/2023,Royal Rides,Hyderabad,Royal Enfield,Classic 500,5,180000,900000,15000,885000,88500,68000,Credit Card
5/11/2023,Rapid Motors,Mumbai,Suzuki,Burgman Street,2,95000,190000,3000,187000,18700,14000,Debit Card
5/12/2023,Fast Track,Delhi,Benelli,Leoncino 500,2,250000,500000,8000,492000,49200,38000,Credit Card
5/13/2023,Sporty Rides,Bangalore,TVS,Apache RR 310,4,250000,1000000,12000,988000,98800,75000,Debit Card
5/14/2023,Moto Elite,Chennai,KTM,Adventure 390,2,300000,600000,10000,590000,59000,45000,Cash
5/15/2023,Royal Motors,Hyderabad,Royal Enfield,Thunderbird 350X,3,160000,480000,7000,473000,47300,36000,Credit Card
5/16/2023,Zoom Bikes,Mumbai,Harley-Davidson,Street 750,2,550000,1100000,20000,1080000,108000,85000,Cash
5/17/2023,Ride Ready,Delhi,Honda,SP 125,5,70000,350000,8000,342000,34200,26000,Credit Card
5/18/2023,Cruiser Central,Bangalore,Suzuki,GSX-R1000,1,1500000,1500000,30000,1470000,147000,120000,Debit Card
5/19/2023,High Gear,Chennai,Yamaha,MT-15,3,140000,420000,5000,415000,41500,32000,Cash
5/20/2023,Rapid Rides,Hyderabad,Bajaj,Pulsar NS200,4,120000,480000,7000,473000,47300,36000,Credit Card
5/21/2023,Swift Cycles,Mumbai,Hero,Passion XPro,7,60000,420000,8000,412000,41200,32000,Debit Card
5/22/2023,Superbikes Arena,Delhi,KTM,Duke 125,3,180000,540000,8000,532000,53200,42000,Credit Card
5/23/2023,Max Velocity,Bangalore,Yamaha,Fascino 125,5,70000,350000,6000,344000,34400,26000,Cash
5/24/2023,Ride Master,Chennai,Bajaj,CT 100,8,40000,320000,6000,314000,31400,24000,Debit Card
5/25/2023,City Bikers,Hyderabad,Suzuki,GSX-S750,1,800000,800000,15000,785000,78500,62000,Credit Card
5/26/2023,Racing Wheels,Mumbai,Ducati,Scrambler,3,1200000,3600000,30000,3570000,357000,280000,Cash
5/27/2023,Ride Nation,Delhi,Harley-Davidson,Fat Bob,2,1200000,2400000,40000,2360000,236000,180000,Credit Card
5/28/2023,Swift Motors,Bangalore,Triumph,Bonneville T120,1,1400000,1400000,20000,1380000,138000,110000,Debit Card
5/29/2023,Moto Hub,Chennai,Kawasaki,Versys 650,4,900000,3600000,50000,3550000,355000,280000,Cash
5/30/2023,Royal Rides,Hyderabad,Royal Enfield,Himalayan,6,200000,1200000,15000,1185000,118500,92000,Credit Card
5/31/2023,Rapid Motors,Mumbai,Suzuki,V-Strom 650XT,3,1100000,3300000,25000,3275000,327500,260000,Debit Card
6/1/2023,Fast Track,Delhi,Benelli,Imperiale 400,2,250000,500000,8000,492000,49200,38000,Credit Card
6/2/2023,Sporty Rides,Bangalore,TVS,Apache RR 310,4,250000,1000000,12000,988000,98800,75000,Debit Card
6/3/2023,Moto Elite,Chennai,KTM,Adventure 390,2,300000,600000,10000,590000,59000,45000,Cash
6/4/2023,Royal Motors,Hyderabad,Royal Enfield,Classic 500,3,180000,540000,7000,533000,53300,42000,Credit Card
6/5/2023,Zoom Bikes,Mumbai,Harley-Davidson,Iron 883,1,900000,900000,15000,885000,88500,68000,Debit Card
6/6/2023,Ride Ready,Delhi,Honda,SP 125,5,70000,350000,8000,342000,34200,26000,Credit Card
6/7/2023,Cruiser Central,Bangalore,Suzuki,GSX-R1000,1,1500000,1500000,30000,1470000,147000,120000,Debit Card
6/8/2023,High Gear,Chennai,Yamaha,MT-15,3,140000,420000,5000,415000,41500,32000,Cash
6/9/2023,Rapid Rides,Hyderabad,Bajaj,Pulsar NS200,4,120000,480000,7000,473000,47300,36000,Credit Card
6/10/2023,Swift Cycles,Mumbai,Honda,XBlade,7,85000,595000,8000,587000,58700,45000,Debit Card
6/11/2023,Superbikes Arena,Delhi,KTM,Duke 390,2,250000,500000,8000,492000,49200,38000,Credit Card
6/12/2023,Max Velocity,Bangalore,Yamaha,FZ V3,5,90000,450000,8000,442000,44200,34000,Cash
6/13/2023,Ride Master,Chennai,Bajaj,CT 100,8,40000,320000,6000,314000,31400,24000,Debit Card
6/14/2023,City Bikers,Hyderabad,Suzuki,GSX-S750,1,800000,800000,15000,785000,78500,62000,Credit Card
6/15/2023,Racing Wheels,Mumbai,Ducati,Scrambler,3,1200000,3600000,30000,3570000,357000,280000,Cash
6/16/2023,Ride Nation,Delhi,Harley-Davidson,Fat Boy,2,1700000,3400000,40000,3360000,336000,260000,Credit Card
6/17/2023,Swift Motors,Bangalore,Triumph,Bonneville T120,1,1400000,1400000,20000,1380000,138000,110000,Debit Card
6/18/2023,Moto Hub,Chennai,Kawasaki,Versys 650,4,900000,3600000,50000,3550000,355000,280000,Cash
6/19/2023,Royal Rides,Hyderabad,Royal Enfield,Himalayan,6,200000,1200000,15000,1185000,118500,92000,Credit Card
6/20/2023,Rapid Motors,Mumbai,Suzuki,V-Strom 650XT,3,1100000,3300000,25000,3275000,327500,260000,Debit Card
6/21/2023,Fast Track,Delhi,Benelli,Imperiale 400,2,250000,500000,8000,492000,49200,38000,Credit Card
6/22/2023,Sporty Rides,Bangalore,TVS,Apache RR 310,4,250000,1000000,12000,988000,98800,75000,Debit Card
6/23/2023,Moto Elite,Chennai,KTM,Adventure 390,2,300000,600000,10000,590000,59000,45000,Cash
6/24/2023,Royal Motors,Hyderabad,Royal Enfield,Classic 500,3,180000,540000,7000,533000,53300,42000,Credit Card
6/25/2023,Zoom Bikes,Mumbai,Harley-Davidson,Iron 883,1,900000,900000,15000,885000,88500,68000,Debit Card
6/26/2023,Ride Ready,Delhi,Honda,SP 125,5,70000,350000,8000,342000,34200,26000,Credit Card
6/27/2023,Cruiser Central,Bangalore,Suzuki,GSX-R1000,1,1500000,1500000,30000,1470000,147000,120000,Debit Card
6/28/2023,High Gear,Chennai,Yamaha,MT-15,3,140000,420000,5000,415000,41500,32000,Cash
6/29/2023,Rapid Rides,Hyderabad,Bajaj,Pulsar NS200,4,120000,480000,7000,473000,47300,36000,Credit Card
6/30/2023,Swift Cycles,Mumbai,Hero,Passion XPro,7,60000,420000,8000,412000,41200,32000,Debit Card
7/1/2023,Superbikes Arena,Delhi,KTM,Duke 125,3,180000,540000,8000,532000,53200,42000,Credit Card
7/2/2023,Max Velocity,Bangalore,Yamaha,Fascino 125,5,70000,350000,6000,344000,34400,26000,Cash
7/3/2023,Ride Master,Chennai,Bajaj,CT 100,8,40000,320000,6000,314000,31400,24000,Debit Card
7/4/2023,City Bikers,Hyderabad,Suzuki,GSX-S750,1,800000,800000,15000,785000,78500,62000,Credit Card
7/5/2023,Racing Wheels,Mumbai,Ducati,Scrambler,3,1200000,3600000,30000,3570000,357000,280000,Cash
7/6/2023,Ride Nation,Delhi,Harley-Davidson,Fat Bob,2,1200000,2400000,40000,2360000,236000,180000,Credit Card
7/7/2023,Swift Motors,Bangalore,Triumph,Bonneville T120,1,1400000,1400000,20000,1380000,138000,110000,Debit Card
7/8/2023,Moto Hub,Chennai,Kawasaki,Versys 650,4,900000,3600000,50000,3550000,355000,280000,Cash
7/9/2023,Royal Rides,Hyderabad,Royal Enfield,Himalayan,6,200000,1200000,15000,1185000,118500,92000,Credit Card
7/10/2023,Rapid Motors,Mumbai,Suzuki,V-Strom 650XT,3,1100000,3300000,25000,3275000,327500,260000,Debit Card
7/11/2023,Fast Track,Delhi,Benelli,Imperiale 400,2,250000,500000,8000,492000,49200,38000,Credit Card
7/12/2023,Sporty Rides,Bangalore,TVS,Apache RR 310,4,250000,1000000,12000,988000,98800,75000,Debit Card
7/13/2023,Moto Elite,Chennai,KTM,Adventure 390,2,300000,600000,10000,590000,59000,45000,Cash
7/14/2023,Royal Motors,Hyderabad,Royal Enfield,Classic 500,3,180000,540000,7000,533000,53300,42000,Credit Card
7/15/2023,Zoom Bikes,Mumbai,Harley-Davidson,Iron 883,1,900000,900000,15000,885000,88500,68000,Debit Card
7/16/2023,Ride Ready,Delhi,Honda,SP 125,5,70000,350000,8000,342000,34200,26000,Credit Card
7/17/2023,Cruiser Central,Bangalore,Suzuki,GSX-R1000,1,1500000,1500000,30000,1470000,147000,120000,Debit Card
7/18/2023,High Gear,Chennai,Yamaha,MT-15,3,140000,420000,5000,415000,41500,32000,Cash
7/19/2023,Rapid Rides,Hyderabad,Bajaj,Pulsar NS200,4,120000,480000,7000,473000,47300,36000,Credit Card
7/20/2023,Swift Cycles,Mumbai,Hero,Passion XPro,7,60000,420000,8000,412000,41200,32000,Debit Card
7/21/2023,Superbikes Arena,Delhi,KTM,Duke 125,3,180000,540000,8000,532000,53200,42000,Credit Card
7/22/2023,Max Velocity,Bangalore,Yamaha,Fascino 125,5,70000,350000,6000,344000,34400,26000,Cash
7/23/2023,Ride Master,Chennai,Bajaj,CT 100,8,40000,320000,6000,314000,31400,24000,Debit Card
7/24/2023,City Bikers,Hyderabad,Suzuki,GSX-S750,1,800000,800000,15000,785000,78500,62000,Credit Card
7/25/2023,Racing Wheels,Mumbai,Ducati,Scrambler,3,1200000,3600000,30000,3570000,357000,280000,Cash
7/26/2023,Ride Nation,Delhi,Harley-Davidson,Fat Bob,2,1200000,2400000,40000,2360000,236000,180000,Credit Card
7/27/2023,Swift Motors,Bangalore,Triumph,Bonneville T120,1,1400000,1400000,20000,1380000,138000,110000,Debit Card
7/28/2023,Moto Hub,Chennai,Kawasaki,Versys 650,4,900000,3600000,50000,3550000,355000,280000,Cash
7/29/2023,Royal Rides,Hyderabad,Royal Enfield,Himalayan,6,200000,1200000,15000,1185000,118500,92000,Credit Card
7/30/2023,Rapid Motors,Mumbai,Suzuki,V-Strom 650XT,3,1100000,3300000,25000,3275000,327500,260000,Debit Card
7/31/2023,Fast Track,Delhi,Benelli,Imperiale 400,2,250000,500000,8000,492000,49200,38000,Credit Card
8/1/2023,Sporty Rides,Bangalore,TVS,Apache RR 310,4,250000,1000000,12000,988000,98800,75000,Debit Card
8/2/2023,Moto Elite,Chennai,KTM,Adventure 390,2,300000,600000,10000,590000,59000,45000,Cash
8/3/2023,Royal Motors,Hyderabad,Royal Enfield,Classic 500,3,180000,540000,7000,533000,53300,42000,Credit Card
8/4/2023,Zoom Bikes,Mumbai,Harley-Davidson,Iron 883,1,900000,900000,15000,885000,88500,68000,Debit Card
8/5/2023,Ride Ready,Delhi,Honda,SP 125,5,70000,350000,8000,342000,34200,26000,Credit Card
8/6/2023,Cruiser Central,Bangalore,Suzuki,GSX-R1000,1,1500000,1500000,30000,1470000,147000,120000,Debit Card
8/7/2023,High Gear,Chennai,Yamaha,MT-15,3,140000,420000,5000,415000,41500,32000,Cash
8/8/2023,Rapid Rides,Hyderabad,Bajaj,Pulsar NS200,4,120000,480000,7000,473000,47300,36000,Credit Card
8/9/2023,Swift Cycles,Mumbai,Hero,Passion XPro,7,60000,420000,8000,412000,41200,32000,Debit Card
8/10/2023,Superbikes Arena,Delhi,KTM,Duke 125,3,180000,540000,8000,532000,53200,42000,Credit Card
8/11/2023,Max Velocity,Bangalore,Yamaha,Fascino 125,5,70000,350000,6000,344000,34400,26000,Cash
8/12/2023,Ride Master,Chennai,Bajaj,CT 100,8,40000,320000,6000,314000,31400,24000,Debit Card
8/13/2023,City Bikers,Hyderabad,Suzuki,GSX-S750,1,800000,800000,15000,785000,78500,62000,Credit Card
8/14/2023,Racing Wheels,Mumbai,Ducati,Scrambler,3,1200000,3600000,30000,3570000,357000,280000,Cash
8/15/2023,Ride Nation,Delhi,Harley-Davidson,Fat Bob,2,1200000,2400000,40000,2360000,236000,180000,Credit Card
8/16/2023,Swift Motors,Bangalore,Triumph,Bonneville T120,1,1400000,1400000,20000,1380000,138000,110000,Debit Card
8/17/2023,Moto Hub,Chennai,Kawasaki,Versys 650,4,900000,3600000,50000,3550000,355000,280000,Cash
8/18/2023,Royal Rides,Hyderabad,Royal Enfield,Himalayan,6,200000,1200000,15000,1185000,118500,92000,Credit Card
8/19/2023,Rapid Motors,Mumbai,Suzuki,V-Strom 650XT,3,1100000,3300000,25000,3275000,327500,260000,Debit Card
8/20/2023,Fast Track,Delhi,Benelli,Imperiale 400,2,250000,500000,8000,492000,49200,38000,Credit Card
8/21/2023,Sporty Rides,Bangalore,TVS,Apache RR 310,4,250000,1000000,12000,988000,98800,75000,Debit Card
8/22/2023,Moto Elite,Chennai,KTM,Adventure 390,2,300000,600000,10000,590000,59000,45000,Cash
8/23/2023,Royal Motors,Hyderabad,Royal Enfield,Classic 500,3,180000,540000,7000,533000,53300,42000,Credit Card
8/24/2023,Zoom Bikes,Mumbai,Harley-Davidson,Iron 883,1,900000,900000,15000,885000,88500,68000,Debit Card
8/25/2023,Ride Ready,Delhi,Honda,SP 125,5,70000,350000,8000,342000,34200,26000,Credit Card
